IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.203.142.185,80,80,false,SEA,North America,Seattle,156,0.00
34.83.75.32,443,443,true,SEA,North America,Seattle,156,0.00
34.82.188.91,443,443,true,SEA,North America,Seattle,157,0.00
34.90.244.116,443,443,true,FRA,Europe,Frankfurt,162,0.00
34.154.243.214,443,0,true,FRA,Europe,Frankfurt,162,0.00
35.233.250.18,80,0,false,SEA,North America,Seattle,163,0.00
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,163,0.00
34.65.58.16,443,443,true,FRA,Europe,Frankfurt,165,0.00
34.107.17.213,443,443,true,FRA,Europe,Frankfurt,171,0.00
34.107.65.94,443,443,true,FRA,Europe,Frankfurt,171,0.00
34.65.169.129,443,443,true,FRA,Europe,Frankfurt,171,0.00
34.107.31.245,443,443,true,FRA,Europe,Frankfurt,172,0.00
34.91.156.200,443,0,true,AMS,Europe,Amsterdam,174,0.00
34.90.132.114,443,443,true,FRA,Europe,Frankfurt,174,0.00
34.65.252.157,443,0,true,FRA,Europe,Frankfurt,174,0.00
34.65.128.135,443,443,true,FRA,Europe,Frankfurt,175,0.00
34.91.47.18,443,443,true,FRA,Europe,Frankfurt,175,0.00
34.91.109.219,443,0,true,FRA,Europe,Frankfurt,175,0.00
34.91.109.219,443,0,true,FRA,Europe,Frankfurt,175,0.00
34.65.19.239,443,443,true,FRA,Europe,Frankfurt,176,0.00
34.90.190.78,443,443,true,FRA,Europe,Frankfurt,176,0.00
34.65.235.165,443,443,true,FRA,Europe,Frankfurt,177,0.00
34.65.63.65,443,443,true,FRA,Europe,Frankfurt,177,0.00
34.65.197.216,443,443,true,FRA,Europe,Frankfurt,177,0.00
34.65.152.34,443,443,true,FRA,Europe,Frankfurt,179,0.00
34.90.10.137,443,443,true,FRA,Europe,Frankfurt,179,0.00
34.175.95.58,2052,80,false,MAD,Europe,Madrid,182,0.00
34.175.7.231,2087,80,false,MAD,Europe,Madrid,182,0.00
34.175.95.58,2082,80,false,MAD,Europe,Madrid,182,0.00
34.34.7.17,443,443,true,FRA,Europe,Frankfurt,183,0.00
34.118.106.198,443,0,true,FRA,Europe,Frankfurt,185,0.00
34.175.7.231,2052,80,false,MAD,Europe,Madrid,185,0.00
34.118.60.134,443,443,true,FRA,Europe,Frankfurt,186,0.00
34.116.138.196,443,0,true,EWR,North America,Newark,186,0.00
34.118.76.96,443,0,true,FRA,Europe,Frankfurt,189,0.00
34.116.156.171,443,443,true,FRA,Europe,Frankfurt,190,0.00
34.116.145.156,443,443,true,FRA,Europe,Frankfurt,191,0.00
34.118.102.243,443,443,true,FRA,Europe,Frankfurt,197,0.00
35.238.102.56,8080,80,false,ORD,North America,Chicago,205,0.00
35.202.7.148,80,0,false,ORD,North America,Chicago,205,0.00
35.239.72.131,80,0,false,ORD,North America,Chicago,205,0.00
34.70.91.86,443,443,true,ORD,North America,Chicago,205,0.00
35.202.158.120,443,443,true,ORD,North America,Chicago,206,0.00
34.121.17.180,80,0,false,ORD,North America,Chicago,206,0.00
34.70.91.86,443,443,true,ORD,North America,Chicago,206,0.00
34.121.160.133,80,0,false,ORD,North America,Chicago,207,0.00
34.145.145.76,443,443,true,IAD,North America,Ashburn,211,0.00
35.231.5.47,80,0,false,ATL,North America,Atlanta,217,0.00
34.73.111.106,80,0,false,ATL,North America,Atlanta,218,0.00
34.105.3.218,443,443,true,SEA,North America,Seattle,221,0.00
35.243.254.173,80,0,false,ATL,North America,Atlanta,221,0.00
34.120.222.161,80,0,false,SIN,Asia Pacific,Singapore,274,0.00
